youtube,facebook,newspaper,sales
0.7757862698681097,0.7620967741935484,0.6059806508355322,0.8070866141732285
0.14812309773419008,0.7923387096774194,0.39401934916446796,0.34645669291338593
0.05579979709164694,0.9254032258064517,0.6068601583113458,0.30314960629921267
0.5099763273588096,0.8326612903225807,0.511873350923483,0.6653543307086616
0.6090632397700373,0.21774193548387102,0.5109938434476694,0.4448818897637796
0.027054447074737913,0.9858870967741936,0.6569920844327178,0.22047244094488194
0.19208657423063918,0.6612903225806451,0.20404573438874232,0.4015748031496064
0.40412580317889757,0.3951612903225807,0.09938434476693055,0.45669291338582685
0.026716266486303684,0.04233870967741936,0.006156552330694811,0.12598425196850394
0.6733175515725398,0.052419354838709686,0.1838170624450308,0.35433070866141736
0.22117010483598243,0.11693548387096776,0.21020228671943714,0.2755905511811024
0.7237064592492392,0.4838709677419355,0.032541776605101144,0.6220472440944883
0.07811971592830572,0.7076612903225807,0.5769569041336852,0.2992125984251969
0.3273588096043287,0.1532258064516129,0.06068601583113458,0.31889763779527563
0.6878593168752114,0.6633064516129032,0.40193491644678986,0.6850393700787404
0.658437605681434,0.961693548387097,0.46262093227792445,0.8188976377952757
0.22691917483936425,0.7379032258064517,1.0000000000000002,0.42913385826771666
0.9492729117348664,0.7983870967741937,0.4881266490765172,0.8976377952755906
0.2316537030774434,0.41330645161290325,0.15831134564643803,0.38188976377952766
0.4957727426445723,0.48185483870967744,0.16534740545294638,0.5118110236220473
0.7362191410213055,0.5584677419354839,0.4670184696569922,0.6456692913385828
0.800473452823808,0.1028225806451613,0.20404573438874232,0.42913385826771666
0.04227257355427798,0.32056451612903225,0.43359718557607746,0.15748031496062992
0.7696990192762936,0.34072580645161293,0.22779243623570802,0.547244094488189
0.2083192424754819,0.2540322580645161,0.15831134564643803,0.31889763779527563
0.886709502874535,0.07056451612903226,0.16886543535620055,0.40944881889763785
0.48089279675346636,0.5907258064516129,0.10817941952506599,0.5275590551181103
0.8096043287115321,0.3366935483870968,0.19876868953386104,0.5629921259842521
0.8390260399053096,0.5463709677419356,0.19876868953386104,0.6811023622047244
0.23638823131552247,0.32258064516129037,0.3562005277044855,0.3503937007874016
0.9881636794048022,0.5705645161290324,0.37730870712401066,0.7795275590551182
0.3794386202231992,0.35080645161290325,0.3368513632365876,0.4055118110236221
0.32634426783902604,0.03024193548387097,0.26121372031662277,0.3149606299212599
0.8958403787622592,0.403225806451613,0.0,0.6220472440944883
0.3212715590125127,0.028225806451612906,0.06244503078276167,0.3110236220472442
0.9807237064592493,0.08266129032258064,0.07211961301671066,0.4409448818897639
0.900236726411904,0.8830645161290323,0.041336851363236594,0.937007874015748
0.2502536354413257,0.9959677419354839,0.3992963940193493,0.515748031496063
0.14338856949611092,0.5383064516129032,0.3060686015831135,0.33464566929133865
0.7686844775109909,0.7600806451612905,0.2788038698328936,0.783464566929134
0.6824484274602639,0.4495967741935485,0.2752858399296395,0.5905511811023624
0.5962123774095368,0.6733870967741936,0.33773087071240115,0.6102362204724411
0.9905309435238419,0.5584677419354839,0.01319261213720317,0.751968503937008
0.6973283733513698,0.16935483870967744,0.2295514511873351,0.4448818897637796
0.08251606357795065,0.5181451612903226,0.37818821459982416,0.27165354330708663
0.5897869462292865,0.45362903225806456,0.2744063324538259,0.5236220472440946
0.30098072370645923,0.19959677419354843,0.31134564643799484,0.35433070866141736
0.8089279675346636,0.8366935483870969,0.1600703605980651,0.8503937007874017
0.7659790328035171,0.31854838709677424,0.43623570800351813,0.5196850393700789
0.22387554954345623,0.23588709677419356,0.3210202286719438,0.31889763779527563
0.6733175515725398,0.0625,0.3016710642040458,0.3858267716535434
0.33716604666892125,0.19354838709677422,0.029023746701846976,0.3582677165354331
0.729455529252621,0.840725806451613,0.34564643799472305,0.8267716535433073
0.6151504903618532,0.931451612903226,0.51363236587511,0.7716535433070867
0.8860331416976666,0.5806451612903227,0.13720316622691295,0.7322834645669293
0.6702739262766318,0.9959677419354839,0.5250659630606861,0.8700787401574804
0.022319918836658778,0.5665322580645162,0.36147757255936686,0.15354330708661418
